Sr. No.,Name of the ARN Holder ,Gross Amount paid,Gross Inflows,Net Inflows,Average Assets under Management for FY 2018-19,Ratio of AUM to Gross inflows
1,3I WEALTH ADVISORS LLP,206.62,100427.78,-18016.47,32229.16,0.27
2,6TH SENSE INVESTMENTS CONSULTANTS,107.12,3922.48,1184.77,9296.01,2.52
3,A K Narayan,129.03,3736.58,1776.27,17304.91,4.94
4,A R J Financial Consultants India Private Limited,130.10,2656.18,957.96,9592.08,3.55
5,A.G. Financial Services,284.89,10503.39,-1607.86,38123.57,3.68
6,A.Makarand Govindrao,91.15,4181.28,439.29,10865.36,2.71
7,AADI WEALTH MANAGEMENT (P) LTD.,511.33,29216.33,-13318.57,53180.72,1.69
8,Aadinath Investment,262.29,63111.94,-2201.83,25862.94,0.45
9,Aahlada Securities Pvt Ltd,143.32,3867.69,1028.93,18344.37,5.02
10,Aalps Investment Advisory,402.05,77949.18,4102.18,48770.43,0.65
11,Abacus Corporation Private Limited,966.25,14557.69,4479.73,94274.53,6.68
12,Abchlor Investment Advisors (P) Ltd,395.59,20012.54,-194.04,36586.06,1.85
13,Abhenav Khettry,128.24,11976.70,1871.57,12905.11,1.19
14,Abhijit Shivanand Sawant,100.44,3555.04,1239.36,10119.71,3.07
15,Abhinav Mehta,119.32,5355.63,1152.32,12049.98,2.37
16,Abhishek Sunil Gupta,145.77,8924.48,1523.98,15610.06,1.90
17,Abm Investment,84.48,3155.93,1988.46,10564.23,3.80
18,ACCORD FINANCIAL SERVICES LLP,187.99,8586.50,5384.21,14977.12,2.07
19,ACE CAPITAL ADVISORS,55.69,9437.98,8222.22,10223.19,1.58
20,ACE FNSUPERMARKET PVT. LTD.,138.37,4280.57,1312.72,13324.05,4.89
21,Ace Wealth Management Private Limited,206.61,4194.20,1610.62,24260.80,6.32
22,ACE WEALTH MANAGERS,801.45,26279.31,12864.70,52327.68,2.28
23,ADDON INDIA PRIVATE LIMITED,93.51,6397.19,4940.16,2372.56,0.81
24,Addon Wealth Consultancy (P) Ltd.,190.35,3374.26,2089.32,11796.83,3.72
25,ADITYA & SONS,193.61,8638.73,2074.79,10587.09,1.23
26,ADITYA BIRLA FINANCE LIMITED,5259.28,37374254.35,-35536.15,1127337.79,0.03
27,ADITYA BIRLA MYUNIVERSE LIMITED,506.06,24833.49,13800.31,46669.52,2.23
28,Aditya Vinayak Joshi,106.69,8195.02,4523.89,10601.77,1.53
29,Adokshaja Krishnarao Kulkarni,94.28,24009.96,2334.53,3826.13,0.17
30,Adoni Venkatesh,82.63,597.35,-6714.02,5308.49,2.14
31,Affluenz Financial Services India Private Limited,135.88,7475.46,1012.93,27061.65,3.78
32,Ajay Kantibhai Shah,106.59,4352.20,808.33,11756.89,2.83
33,Ajay Khurana,89.05,1669.94,217.31,8322.31,5.24
34,Ajay Kumar Arora,94.34,2446.34,1177.81,10158.00,4.48
35,Akasa Securities & Financial Services Pvt. Ltd,212.57,66270.10,3998.35,28576.68,0.46
36,Akshaya Budhraja,105.15,3024.20,1157.21,13336.81,4.81
37,Akshaya Wealth Management (P) Ltd,81.88,7074.95,2857.86,11303.50,1.87
38,Akta Associates,132.87,25434.55,2383.27,18306.78,0.58
39,Alchemy Capital Management Pvt Ltd,152.24,6725.85,-11195.74,26714.06,2.40
40,Allahabad Bank,53.61,5641.45,3370.61,10227.63,1.98
41,Allegiance Associates,183.87,7275.16,1608.78,19932.22,2.79
42,Allegro Capital Advisors Pvt Ltd,215.71,13499.82,-3942.03,38951.75,2.65
43,Almondz Global Securities Ltd,411.75,25790.94,-13526.73,80967.70,2.90
44,ALMONDZ WEALTH ADVISORS LTD,233.44,127063.67,4740.36,21404.87,0.18
45,Alpha Capital,590.71,45806.18,7950.21,99931.61,2.36
46,ALPHAFRONT FINSERV PVT LTD,71.32,11900.10,6730.67,9789.94,1.11
47,AM WEALTH MANAGERS PVT. LTD,1233.25,55410.07,15309.86,136650.41,2.96
48,Ambit Capital Private Limited,210.66,179863.97,-4655.32,80798.85,0.30
49,Ami Vishal Dalal,249.91,29607.72,653.45,23292.48,0.79
50,Amit Jasani Financial Services Pvt Ltd,64.10,21318.55,10922.31,13663.34,0.98
51,Amit Sitaram Luharuka,89.40,5367.18,990.76,11076.87,2.25
52,Amitkumar D Mehta,158.55,4612.79,1913.06,14182.73,3.34
53,Anand Rathi Share And Stock Brokers Limited,959.79,1069331.93,21180.91,115889.13,0.12
54,Anand Rathi Wealth Services Limited,12108.97,2789425.90,163395.14,1124158.48,0.45
55,Anandbir Singh,353.87,36704.37,7843.57,44556.96,1.31
56,Ananthalakshmi M,91.38,4437.45,-1501.41,11241.80,2.41
57,Angel Broking Limited,505.21,64205.34,26158.46,47709.29,1.02
58,Anil Khera,164.72,5615.81,375.62,19505.15,3.58
59,Anil Manohar Kataria,96.64,5581.59,2293.29,12126.42,2.36
60,Anita Arun Lagu,107.65,3172.96,-344.23,12169.74,3.53
61,Anita Investment Agencies,63.89,129.59,-1751.33,11346.13,83.33
62,Anjali Investment & Consultants,369.89,16096.23,3590.42,32989.24,2.25
63,Anjana Shah,128.08,18032.86,523.58,22415.24,1.28
64,Ankit Aggarwal,222.25,43563.40,-4539.36,21770.67,0.52
65,Ankit Jain,93.34,956.65,-27.66,7623.45,8.65
66,Anshu Jaisinghani,110.99,5506.46,2438.21,13339.44,2.70
67,Anshu Shrivastava,67.47,2843.49,-3717.18,3627.98,0.52
68,Answers Financial Planners Pvt.Ltd.,128.86,19749.66,1729.16,14442.90,0.59
69,Anup Thirani,95.02,288597.22,1090.16,11177.02,0.04
70,Anurag Bagrodia,138.03,8512.72,-2068.75,18871.70,2.22
71,AR WEALTH MANAGEMENT PRIVATE LIMITED,323.93,16611.99,5098.97,29095.63,2.09
72,Ara Management Solutions Pvt Ltd,197.55,9109.74,-200.87,22514.07,2.61
73,Aravindakshan K M,106.62,3377.26,784.41,11729.71,3.57
74,Arihant Capital Markets Limited,132.25,22337.39,2963.99,15456.93,0.74
75,Arjun Gupta,85.51,2980.92,-622.11,12296.44,4.26
76,ARK PRIMARY ADVISORS PRIVATE LIMITED,120.22,3532.85,1860.24,13653.44,4.34
77,ARNAV FINANCIAL SERVICES,55.11,8189.95,1176.62,4458.46,0.50
78,Artha Yantra Corporation Pvt Ltd,81.26,4306.31,888.41,10402.87,2.60
79,Artham Finometry Private Limited,115.97,10221.94,3463.16,12889.70,1.47
80,Arthashastra Investment Managers Private Limited,124.40,7226.27,1534.56,13627.21,1.87
81,Arun Purushottam Patel,103.34,6380.48,2512.89,8202.23,1.31
82,Arun Sankar,57.23,1561.72,-147.65,4806.53,3.08
83,Arun Vishwanath Lagu,199.93,4688.55,-681.41,21139.52,4.47
84,Arvind Financial Services,112.09,2530.41,724.30,14142.61,6.08
85,Arvinder Singh Bindra,88.16,1619.36,680.67,11277.45,7.51
86,Ashika Stock Broking Ltd.,129.20,134368.65,163.47,19275.44,0.11
87,Ashish Golechha,110.88,6577.92,3483.40,10541.05,1.96
88,Ashok Kumar Agarwal,77.59,4291.95,584.09,5509.51,1.35
89,Ashok Thakwani,82.34,2679.57,953.95,11898.45,4.82
90,Ashutosh Financial Services Private Limited,298.52,10600.04,2783.19,20467.50,2.10
91,Ashwin Rasiklal Vajani,201.61,14267.77,3137.56,21310.30,1.57
92,Asit C. Mehta Investment Intermediates Ltd,141.67,10105.85,1093.04,21836.92,2.22
93,Asit Haresh Bhansali,172.59,15115.29,764.38,20027.20,1.33
94,Ask Wealth Advisors Private Limited,2487.14,452568.04,-35605.08,390008.27,0.86
95,Aspandiar Nari Kanga,72.20,2730.63,2314.48,9037.65,3.68
96,Asset Alliance Securities Private Limited,139.30,6340.07,935.84,18089.96,3.18
97,Assetz Premier Wealth Advisory Pvt Ltd,384.03,61515.17,1384.50,54397.82,0.91
98,AU Mutuals Financial Planners Pvt. Ltd.,141.10,7732.98,1850.66,10164.20,1.46
99,Augment Capital Advisors LLP,123.62,12584.18,1252.28,14446.33,1.03
100,AUM Capital Market Pvt Ltd,1468.87,1591159.22,-152268.42,268725.40,0.11
101,AUM Insure And Secure Pvt Ltd,147.25,9040.99,2382.36,16325.44,1.96
102,AUREUS INVESTMENT SOLUTIONS LLP,344.84,316721.21,13873.92,64712.71,0.22
103,Autus Wealth Management Private Limited,643.53,38590.31,9399.02,76202.12,2.10
104,Avanish K Shah,105.56,5326.87,1350.02,10676.35,2.24
105,Avendus Wealth Management Pvt Ltd,1111.13,513323.28,-103600.94,296169.59,0.56
106,Axiom Financial Services Pvt Ltd,404.80,14957.44,5845.01,49025.96,3.56
107,Axis Bank Limited,55563.06,13455006.10,75584.70,5292305.18,0.36
108,Axis Securities Limited,1672.58,97061.99,47111.40,143923.70,1.67
109,AYUSHMANN CAPITAL,315.38,31439.28,17689.86,10013.64,0.63
110,B D Shroff Securities Private Limited,148.63,2775.86,627.48,21580.17,8.00
111,Babubhai Hiralal & Co,97.32,32329.38,351.12,14169.50,0.41
112,Bahubali Mohanlal Shah,105.69,5818.46,1686.53,9759.56,1.83
113,Bajaj Capital Ltd.,9206.28,606483.87,-14467.59,1012750.61,1.69
114,Bajaj Securities,73.75,3145.00,1489.97,10503.40,3.69
115,Bajaj Share And Stock Brokers Pvt Ltd,75.07,18093.07,132.28,25936.32,1.54
116,BANAYANTREE SERVICES LIMITED,489.45,25330.38,3360.20,25853.38,0.99
117,BANCONUS FINANCIAL SOLUTIONS PRIVATE LIMITED,138.12,10552.02,2197.79,12106.11,1.33
118,BANDHAN BANK LTD,190.75,16434.19,11984.25,14719.48,1.25
119,Bank of Bahrain & Kuwait B.S.C.,71.43,2501.13,1092.98,9469.95,4.19
120,Bank Of Baroda,1835.34,642489.46,176361.74,278803.86,0.55
121,Bank of India,636.51,82777.65,-27403.82,150522.14,1.66
122,Barclays Securities (India) Pvt Ltd,1979.00,685775.82,-157994.78,472531.50,0.56
123,Barjeel Geojit Financial Services LLC,1548.47,40722.56,11079.45,145833.70,3.80
124,Barrier Foils Private Limited,91.12,5682.06,459.20,19575.73,3.70
125,Basic Financial Services Pvt Ltd,157.78,5025.12,-1302.06,14710.38,2.83
126,Batlivala & Karani Securities India Pvt. Ltd.,1896.45,20491144.56,11238.57,722661.22,0.03
127,Beereshwar Financial Services,137.18,11534.71,2729.99,7475.42,0.69
128,Bees Network Limited,282.73,25428.80,1382.93,33661.90,1.42
129,BELLWETHER ADVISORS LLP,234.97,9370.78,3141.19,20998.76,2.37
130,BEYOND LIFE FINANCIAL SERVICES LLP,729.61,45157.00,14080.06,66185.86,1.63
131,BFC Capital P Ltd,298.02,40287.55,1554.29,28761.85,0.65
132,Bharat Bhushan & Co.,1748.20,252661.11,-50688.72,217456.62,0.79
133,Bharat Soneja,113.62,3271.98,856.10,10810.93,3.56
134,Bharat Tokershi Gosar,110.22,3744.79,2813.42,12471.40,3.87
135,BHARATHI SHARE BROKING PRIVATE LIMITED,260.17,14344.94,-5866.60,29742.95,1.69
136,Bhartiben Kishorchandra Shah,56.69,743.28,743.28,3167.35,4.61
137,Bhavesh Indravadan Gandhi,109.93,3203.49,750.51,10270.63,3.46
138,Bhavesh Mahavir Khetan,223.31,4244.78,1087.19,21515.14,5.16
139,Bhavik Girish Dand,203.60,8217.57,6406.04,16872.95,2.76
140,Bheruratan Onkardas Dammani,85.12,2660.13,1304.23,9868.17,4.06
141,Bimal Mansukhlal Panchamia,229.56,6809.35,2612.95,18689.76,2.93
142,Bipin Bihari Sinha,115.29,3907.74,264.63,7777.54,2.00
143,Biren Krishnakant Chhatrapati,88.96,2639.90,989.32,10982.50,4.42
144,Birendra Kumar,150.86,19563.25,1190.25,18107.60,1.00
145,BLACK & WHITE FIN SOLUTIONS LLP,182.03,16074.30,-14575.97,14794.18,0.26
146,Blue Chip Investments,319.36,5398.72,1353.93,23792.85,4.56
147,Blue Circle Financial Services,174.99,4857.40,3330.65,19216.83,4.43
148,Blue Edge Associates LLP,1165.16,108560.36,19013.94,125974.25,1.36
149,Blue Ocean Financial Services Pvt Ltd,136.43,4389.53,-244.64,14451.64,3.27
150,Blue Ocean Multi Client Family Office LLP,152.48,76024.61,7967.05,28188.06,0.36
151,Bluechip Capital Services Private Limited,459.61,20161.24,1860.13,58624.86,2.98
152,Bluechip Corporate Investment Centre Ltd,3128.25,123665.13,58757.53,379555.01,3.30
153,BNP Paribas,89.03,258.98,-7502.48,29019.64,87.55
154,BNP Paribas Wealth Management India Pvt Ltd,878.31,174277.74,-1768.38,140801.99,0.84
155,Bodevision Finsec Consultants (P) Ltd,251.63,6339.19,457.04,19433.00,3.26
156,Boho Consultants Pvt Ltd,136.19,5238.05,2633.02,17115.10,3.59
157,Bonanza Portfolio Ltd,370.74,19983.27,5129.97,48776.01,2.55
158,Brain Point Investment Centre Pvt Ltd,1019.70,173060.22,16817.68,128560.93,0.82
159,Brij Bhushan Marwaha,281.02,727.02,254.04,7965.41,0.07
160,Canara Bank,4768.75,264084.80,92297.80,473301.25,2.08
161,Capital Builders,160.35,8041.09,-23.84,16439.64,2.06
162,Capital League,693.35,35681.62,643.64,82953.12,2.26
163,Catalyst Financial Planning,183.79,9083.98,-2144.79,13330.51,1.42
164,Cedrus Consultants Private Limited,203.95,15690.10,-1704.98,26064.20,1.65
165,Centrum Wealth Management Ltd,2910.12,631967.06,26104.04,469652.09,0.81
166,Cerebral Advisors,123.56,3332.82,1585.05,11100.68,3.52
167,Chadha Investment Consultant Pvt Ltd,652.35,23761.18,5725.99,75372.38,3.75
168,Chaitanya Financial Consultancy Pvt Ltd,166.20,5362.82,932.28,14984.45,2.82
169,Champion Traders,104.79,3288.94,-754.32,10949.26,3.32
170,CHANDLER AND PRICE (I) PVT LTD,311.77,18645.79,-477.04,35644.76,1.93
171,Chandrakant Kashinath Amritkar,142.76,3195.77,1121.87,13193.05,4.32
172,Chandulal L Vasa,138.16,5709.90,1434.00,14785.21,2.73
173,Chetan Manharlal Lapsiwala,93.37,2050.72,587.92,13940.97,7.50
174,Chirag Stockbroker Pvt Ltd,233.76,10878.78,4249.79,19551.78,2.08
175,Cholamandalam Securities Ltd,810.79,14606223.01,-15660.42,211665.42,0.01
176,CITADELLE ASSET ADVISORS PVT. LTD.,186.11,31078.00,136.67,18653.45,0.55
177,Citibank N.A,18184.69,1462461.26,-86929.16,2866429.17,1.83
178,CITRINE FINANCIAL ADVISORS LLP,122.22,6787.37,2410.78,13552.84,2.43
179,CLAIRFIN CAPITAL SERVICES,182.93,10097.54,1974.05,17484.98,1.88
180,Clairvoyance Securities Private Limited,140.19,7004.57,2844.20,11987.94,1.85
181,Clairvoyant Capital Services,141.16,9586.07,-300.19,15264.65,1.65
182,Colaco & Aranha,189.11,5863.85,1910.20,29755.78,5.58
183,Common Wealth,308.58,30141.69,-5121.21,40305.81,1.23
184,Complete Circle Consultants Pvt Ltd,564.08,28413.01,16664.88,53469.41,2.24
185,Comsol Financial Solutions Private Limited,385.05,12198.27,11.84,49413.81,4.08
186,CONSUULTME FINANCIAL SERVICES LLP,219.79,10205.23,4796.23,18120.95,2.05
187,Coolbrain Consultants Private Ltd.,575.94,15324.20,2446.62,38508.88,2.60
188,Coronet Vyapaar (P) Ltd,91.37,0.00,-46800.61,50378.01,0.00
189,COUNTON ADVISORS PRIVATE LIMITED,111.28,7434.08,-4357.16,11387.74,1.13
190,CREDEL CAPITAL ADVISORS LLP,159.86,8783.97,4506.03,15482.87,2.43
191,Credence Family Office LLP,249.77,13282.38,-100.65,30159.62,2.40
192,Credit Suisse Securities India Pvt Ltd,2043.28,474373.53,-186071.49,468128.29,0.86
193,CRESCAT ADVISORS LLP,205.83,15991.08,9707.55,15392.80,1.29
194,Crescore Wealth Management Services Pvt. Ltd.,222.27,19317.64,-2988.80,37427.82,1.77
195,CREST FINSERV LIMITED,447.62,9677848.94,-32410.33,173632.96,0.01
196,CRVJ Investment Consultants Pvt.Ltd.,151.85,5241.71,2623.98,18012.94,3.71
197,CRYSTAL VISION WEALTH MANAGERS PRIVATE LIMITED,158.88,9788.37,-154.73,21171.58,2.34
198,D Muthukrishnan,255.64,3401.71,775.82,25917.60,8.00
199,D Sundararajan,70.96,2329.42,986.43,10243.57,4.64
200,Dalal & Broacha Stock Broking Pvt. Ltd.,544.59,109363.71,-6998.70,86331.92,0.71
201,Dalmia Advisory Services Pvt Ltd,271.30,12823.91,3300.54,28911.56,2.38
202,Darashaw & Co. Pvt Ltd,165.94,114888.55,-10359.44,39806.97,0.28
203,Darshan Mahendra Parekh,121.52,10561.91,1307.27,15241.43,1.46
204,Darshan Services Private Limited,2937.23,11707453.53,-211343.58,552528.73,0.03
205,Daularam Kewalram Patel,102.03,3330.55,417.20,11463.45,3.44
206,DBS BANK INDIA LIMITED,438.24,91568.92,18280.67,152221.58,2.03
207,DBS Bank Ltd.,1724.85,29120.07,-3380.45,80205.20,2.19
208,DCB Bank Limited,264.93,13639.63,-4332.31,46894.20,3.39
209,Deep Management & Eco Consultants Private Limited,307.99,8606.03,-3589.35,44918.53,5.14
210,Deepa Manoj Adalja,56.78,821.24,-1180.54,5985.20,7.73
211,Deepak,255.24,13035.60,3655.31,32517.89,2.77
212,Deepak Bakshi,92.80,2398.73,992.48,10559.28,4.74
213,Deepak Krishnamurthy Rao,73.85,3606.80,1679.65,11120.23,3.29
214,Deepak Kumar Bhardwaj,129.65,3830.54,875.40,10898.81,2.97
215,Deepam Marketing Enterprises (P) Ltd,91.76,6097.10,2342.81,12617.22,2.27
216,Deepanshu Singhal,239.35,22213.27,4339.78,26514.99,1.25
217,Deepesh Arora,369.63,26394.03,3135.64,29772.96,1.14
218,Defmacro Software Pvt Ltd,106.79,8396.22,7785.79,5443.79,1.23
219,DEGREE 212 CONSULTANCY SERVICES PVT LTD,36.83,6488.92,1622.73,10016.67,2.51
220,Deutsche Bank AG,5115.98,419848.58,-50738.29,978796.75,2.20
221,Devavrat Parvate,62.22,6404.88,6083.67,6448.56,1.45
222,Devendra Yeshwant Mhatre,130.05,4676.37,-342.78,12455.43,2.46
223,Dhairav Janak Shroff,136.62,5329.37,781.13,12817.77,2.57
224,Dhananjay Manohar Kale,294.33,8476.31,4544.89,31482.15,4.03
225,Dhanesh M. Shah,171.06,5819.19,2766.90,17780.46,3.39
226,Dhanlaxmi Bank Limited,187.86,20797.80,3820.01,24874.07,1.23
227,DHANSANCHAY WEALTH CREATIONS LLP,151.46,9092.32,280.01,7961.28,0.82
228,Dhanvriddhi Finvest Services Pvt Ltd,99.34,3886.06,2238.03,14027.70,3.98
229,Dhaval Mahendra Desai,78.87,990.13,577.05,8027.18,8.76
230,Dhaval S Shah,68.77,2451.15,964.01,9459.84,4.18
231,Dhruv Lalit Mehta,913.41,123605.77,-3376.84,102858.48,0.79
232,Dhruv Rajesh Rawani,108.61,6047.18,2733.21,9563.86,1.81
233,DHYEY ASSET ADVISORS LLP,96.99,468.22,460.67,5475.12,12.41
234,Dilipkumar Shashikant Vayeda,120.21,3889.90,960.60,11136.93,3.02
235,Dilshad Kaiwan Billimoria,104.32,2966.95,670.98,14018.94,4.91
236,Dipak Kumar Das,183.99,5506.87,581.42,21385.26,4.09
237,Dipankar Das,237.41,5283.12,1315.20,21567.47,4.30
238,Director General Posts,56.96,936.65,-1876.24,16291.21,17.38
239,Disha Finance & Investment Pvt Ltd,358.83,12068.15,4402.49,35484.25,3.13
240,Diva Jyote Portfolios Private Limited,215.68,6034.30,1898.62,25813.37,4.48
241,Divitas Capital Advisors Pvt Ltd,459.62,29700.10,3960.65,55294.32,1.95
242,DMS Investment Advisory (P) Ltd.,250.91,18618.52,-8676.55,29066.46,1.46
243,Dolfin Investments,92.78,6836.71,1914.62,11213.22,1.86
244,Domingo John Rohan Rebello,173.10,9102.65,1332.48,19487.40,2.14
245,Doogar & Associates Securities Ltd,101.72,7179.80,1492.65,12074.00,1.77
246,Drumesh H.Pandya,110.32,9149.95,6652.24,11762.45,2.59
247,DSA Capital Services,243.46,16350.33,-1185.27,22119.46,1.27
248,DSFS WEALTH MANAGEMENT LLP,114.39,6825.54,700.81,10111.18,1.78
249,Durga Financial Services Pvt Ltd,261.49,9848.09,2182.05,24297.69,2.61
250,Eastern Financiers Ltd.,2195.21,125721.15,22046.74,256907.83,2.16
251,ECS Financial Services (India) Private Limited,261.97,7837.75,1937.80,27865.84,3.74
252,Edelweiss Broking Limited,1678.57,641444.97,89770.43,323990.42,0.59
253,Edelweiss Financial Services Limited,470.91,72095.33,27144.86,58626.60,0.83
254,Edge Corporate Services Pvt Ltd,177.71,3625.29,-3016.75,25700.93,6.84
255,Edge Wealth Management Services LLP,1146.67,96326.58,-5418.73,164447.82,1.67
256,Elite Portfolio Management,141.37,6849.09,1037.01,13810.85,2.24
