Sr. No.,Name of the ARN Holder ,Gross Amount paid,Gross Inflows,Net Inflows,Average Assets under Management for FY 2018-19,Ratio of AUM to Gross inflows
780,Salil B Kothari,314.62,20178.49,6307.63,32288.50,1.77
781,Samir Vora,198.31,12321.35,-3797.43,17749.25,1.30
782,Samruddhi Investment,173.92,6623.94,1384.21,21417.68,3.40
783,Samsang Financial Consultants,185.78,8161.21,1876.78,22031.52,2.82
784,Sanat Kacker,145.65,2709.66,1118.54,17267.77,6.75
785,SANCTUM WEALTH MANAGEMENT PRIVATE LIMITED,1083.30,146865.39,-5460.67,155068.87,1.36
786,Sandeep  Gupta,66.01,13319.24,4190.29,19304.56,1.59
787,Sandeep Garg,101.13,4589.30,405.92,8677.28,2.03
788,Sandeep J Shukla,73.35,2598.57,1215.37,10159.94,4.13
789,Sandeep Shah,134.65,2131.59,1025.03,13945.49,6.82
790,Sandesh Shenoy,114.47,20002.85,470.55,11754.99,0.60
791,Sangam Investments,124.34,2800.50,781.19,15026.19,5.67
792,Sangeeta Milind Chitnis,194.29,7088.74,1488.53,21030.06,3.06
793,Sanjay Mahendrakumar Nanavati,210.06,9654.40,1533.40,24243.70,2.48
794,Santushti Capital LLP,132.95,3636.64,787.86,12025.51,3.48
795,Santwana Nandi,58.93,1648.68,789.54,5850.89,3.87
796,Sapient Wealth Advisors And Brokers Pvt Ltd,1285.00,216323.34,13005.66,224991.20,1.28
797,Sapthagiri Portfolio Mgmt Private Limited,155.81,92965.42,9937.92,28939.20,0.39
798,Sarsa Financial Advisory Services Ltd,104.35,3245.12,1458.54,10623.17,3.58
799,SARTH WEALTH ADVISORS PRIVATE LIMITED,187.69,7719.55,4057.70,17557.97,2.70
800,Sarvodaya Finadvisory Services Pvt Ltd,329.60,15713.74,-17849.73,51597.22,2.92
801,Satish Arora,85.50,3546.98,1764.13,10649.79,3.33
802,Satvik Securities Pvt.Ltd,313.45,0.00,-68119.72,54571.84,-
803,Satyen Girish Vakil,103.95,4536.82,-2152.47,11552.66,2.17
804,SAURABH JAYANT SHAH HUF,177.57,15.50,-2720.48,18783.84,1109.46
805,Saurabh Kumar Singh,168.97,6355.94,-436.59,12323.25,1.86
806,Save & Prosper Securities Pvt Ltd,255.14,13247.12,2832.66,22709.85,1.97
807,Savitri Agrawal,155.56,6536.94,1547.26,11003.59,1.84
808,SBICAP Securities Limited,464.10,21143.48,2803.11,58526.75,2.71
809,Scripbox.Com India Pvt Ltd,854.77,55153.44,24536.94,89249.40,1.84
810,Security Investments Limited,434.85,13975.33,1784.83,60937.05,4.48
811,Seema Ramesh Nainani,123.19,4506.16,2178.34,14312.47,3.48
812,Sejal Avanish Shah,95.67,5192.60,1279.08,8712.04,2.26
813,Sewa Kaur Saini,32.65,15724.02,7265.03,5386.08,1.17
814,SFIC Fiscal Services Pvt Ltd,107.58,7014.11,-96.00,16488.20,2.21
815,Shagun Sandeep Sutaria,131.96,3765.80,-13442.22,16346.13,2.67
816,Shagun Sutaria Stock Broking Private Limited,807.85,265740.82,35428.55,153165.39,0.62
817,Shah & Shah Finsol Private Limited,396.01,22062.93,9286.48,31444.63,1.61
818,Shah Digpal Hemant,109.44,5050.20,573.64,12878.07,2.66
819,Shalibhadra Master Investment Brokers LLP,519.81,16787.43,4664.47,34976.14,2.49
820,Sharad Gupta,112.07,3129.48,1630.21,14784.65,5.24
821,Sharekhan Limited,3075.43,211562.35,96191.41,293007.17,1.61
822,Shashank Agarwal,203.36,6583.67,711.06,18959.65,2.93
823,Shashank Jain,140.47,10740.04,1578.82,15522.71,1.56
824,Shashi Shekhar Chilana,92.87,1748.54,360.49,11046.44,6.30
825,Sheetal Sitaram Upadhyay,120.13,3046.70,533.28,10623.57,3.67
826,Shekhar Madhusudan Mahore,119.09,2664.66,739.59,11380.17,4.42
827,Shenoy Investment & Financial Consultants Pvt Ltd,108.81,2445.65,776.59,9259.27,3.92
828,Shifali Satsangee,376.11,12735.59,3313.75,33626.08,2.86
829,Shivam Mehrotra,111.96,91780.16,-11060.41,12358.12,0.09
830,Shivranjani Securities Company Pvt Ltd,967.80,74587.03,516.76,159488.90,2.23
831,Shradha Gaurav Damwani,83.62,5949.79,4671.33,2914.73,0.89
832,Shrambal Consultants Private Limited,106.36,5175.28,2596.11,14487.56,3.10
833,Shree Consultants,83.25,4432.80,406.40,10069.34,2.35
834,Shree Sidvin Financial Services & Invest. Pvt. Ltd.,285.13,15224.86,4187.54,30619.29,2.16
835,Shreeji Kosh Services,88.05,15639.90,4349.63,13954.42,1.07
836,Shri Ashutosh Securities Private Limited,133.10,7618.67,1902.91,12996.66,1.83
837,SHRI BALAJI CAPITAL,101.39,4948.75,1293.73,8861.64,1.90
838,SHRI MASUN FINANCIAL SERVICES,168.79,994529.77,3185.03,34699.42,0.00
839,Shriram Fortune Solutions Ltd.,92.64,3568.16,1211.72,13034.04,3.88
840,Shriram Insight Share Brokers Ltd,463.66,792553.95,689.38,65838.04,0.08
841,Shubham Sanjay Damani,54.52,12436.77,1333.94,6835.71,0.52
842,Shubhangi Gopal Pai,151.46,15156.76,4998.37,18924.13,1.44
843,Shwetang Sanat Sheth,91.97,3806.78,869.06,9845.32,2.78
844,Shyam Singhania,96.52,1350.75,979.44,3526.20,0.10
845,Siddharam Gurusiddappa Kolkur,120.47,5554.02,1461.92,10054.32,1.94
846,Siddharth Sharathkumar,118.38,5775.94,-2600.74,12074.55,1.85
847,Sift Capital,790.87,27262.35,-1500.50,58666.78,2.23
848,SILVERLINE WEALTH MANAGEMENT SERVICES,159.11,2624.60,-738.06,12552.02,4.97
849,SIMPLICITY INVESTING ADVISORS INDIA PVT LTD,86.75,5374.28,2941.17,9817.94,2.10
850,Simpson & General Finance Company Limited,194.63,41668.34,-10115.31,74445.38,1.72
851,Sinhasi Consultants Private Limited,87.06,14906.21,1366.23,12891.41,0.96
852,SKCL Wealth Management Pvt Ltd,422.42,128395.77,4374.74,55974.61,0.40
853,SKM Management Services,336.48,862.37,-5240.72,33164.99,38.12
854,SKP Securities Limited,881.27,57769.92,-8870.36,123906.26,2.10
855,SLA FINSOL PRIVATE LIMITED,653.09,18710.91,4545.58,46406.49,3.29
856,SMARTVALUE EQUISEARCH PVT LTD,33.18,17900.34,7966.34,8729.17,0.75
857,SMC Global Securities Limited,2020.63,179952.42,38151.55,278744.93,1.59
858,SMC Investments And Advisors Limited,83.76,6024.52,-1469.92,15798.71,2.31
859,SMR Consultancy Private Limited,219.50,17481.29,893.87,33671.52,1.93
860,Snazzy Wealth Creators,302.89,46750.21,7652.20,43025.28,0.98
861,Soba Infosec Pvt Ltd,101.93,5517.15,1935.21,14896.90,2.96
862,Solutions .,91.46,7954.24,1917.01,9681.11,1.36
863,Sonal Rajesh Rawani,164.73,1193.83,-138.19,16070.75,13.73
864,Sonia Narang,110.03,4636.63,715.35,10579.23,2.38
865,Sonic Investments,178.41,2131.45,-6687.19,23779.85,9.59
866,Sources Solutions India Pvt. Ltd.,176.20,4274.30,-1419.24,12909.38,3.06
867,Sourendra Saha,84.51,8197.22,2286.62,5222.02,0.74
868,SPA Capital Services Limited,4786.83,9527031.95,-421109.75,1281662.70,0.11
869,SPA GLOBAL PVT LTD,858.54,2472360.80,21063.34,243140.03,0.10
870,SQUIRREL CONSULTING PVT LTD,168.49,11557.24,4076.53,23977.52,2.72
871,Sri Kotyark Investments,118.15,21621.90,-3096.13,19011.83,0.83
872,SRI KRISHNA CAPITAL,133.74,4686.83,2307.84,15028.00,3.70
873,Sridharan Narasimachari Kilpakkam,90.11,473.30,-541.94,11646.37,24.36
874,Sriram Suryanarayanan,87.38,2438.92,743.73,10668.65,4.63
875,Srivari Investments,100.87,2375.02,739.42,11255.52,5.02
876,SRIVIDYA ENTERPRISES LLP,962.70,7525503.18,951083.94,551105.37,0.23
877,Standard Chartered Bank,15077.03,1135521.84,-5262.90,1790496.12,1.52
878,Standard Chartered Securities (India) Limited,129.84,1819.56,-2278.66,23866.58,13.02
879,State Bank of India,48757.77,9208132.27,1536820.81,6428004.82,0.81
880,Stock Holding Corporation of India Limited,1000.62,603930.13,31968.11,102880.61,0.18
881,Subhas Chakraborty,116.16,2221.40,609.18,10285.36,4.86
882,Subras Investments,153.69,9772.26,-124.25,20046.12,1.96
883,Sujash Securities Private Limited,216.57,10785.83,49.12,15259.41,1.48
884,Sujata Khushrav Kabraji,189.14,22721.09,5018.57,27828.41,1.38
885,Sukanta Bhattacharjee,85.96,2574.28,719.14,9316.02,3.91
886,Suman Gupta,118.86,2931.55,1760.67,9094.90,3.36
887,Suman Kumar Thakur,106.52,3663.59,380.20,14103.64,3.95
888,Sundaram Finance Limited,1842.57,87641.20,31332.57,160688.77,2.09
889,Sunder Gopal Roy,139.20,4872.70,2503.54,9762.17,2.33
890,Sunil Bhanudas Kanade,71.50,2592.39,1322.61,7776.72,3.44
891,Sunil Hindocha,86.90,3693.66,1574.48,10757.58,3.16
892,Sunkersett Investment Intermediaries LLP,219.12,8379.97,3868.11,15780.84,2.03
893,Suraj Prakash,228.43,11095.80,1172.42,8578.26,0.93
894,SURAT COMMERCIAL PRIVATE LIMITED,107.66,3239.51,1472.95,13398.61,4.51
895,Surendra Kumar Bagaria,100.34,4834.27,1481.94,13129.41,2.96
896,Surendra Kumar Dugar & Co,139.12,29593.86,1135.51,44762.07,1.67
897,SURVAM INVESTMENTS PRIVATE LIMITED,113.99,19727.39,6915.61,7333.29,0.61
898,Sushil Financial Services Pvt Ltd,320.05,62292.64,5804.81,40936.68,0.73
899,Suvarna Yogesh Shah,92.31,3388.75,317.76,9302.00,2.80
900,Suvridhi Capital Markets Private Ltd,492.57,31909.02,-14017.45,66721.78,1.70
901,SVC CO OPERATIVE BANK LTD,79.67,4986.06,1000.25,14093.75,2.95
902,Swan Investmentors Pvt Ltd,177.26,9661.92,4558.79,16818.84,2.25
903,Swathi Investments,78.49,2943.87,967.17,11290.95,4.09
904,Sweety Dhaval Desai,100.98,1938.84,928.46,11002.73,6.13
905,SWS FINANCIAL SOLUTIONS PVT LTD,80.04,13664.74,701.54,11143.02,0.79
906,Sykes & Ray Equities (I) Ltd.,112.19,24139.88,3635.66,17835.37,0.85
907,Syndicate Bank,91.56,6087.77,1933.86,11685.52,2.00
908,Systematix Shares And Stocks (India) Ltd,195.03,118974.61,-4114.24,34409.45,0.26
909,Tandon And Mahindra Consultancy,233.85,5779.37,-1114.08,34142.27,6.82
910,TAPARIA PRIVATE LIMITED,122.78,6151.15,1654.28,20793.67,3.51
911,Tarla Pankaj Mavani,51.74,555.10,-150.80,4342.95,8.08
912,Tata Capital Financial Services Ltd.,663.24,175990.26,-6922.99,91020.02,0.47
913,Tata Securities Limited,537.33,47162476.26,-220236.70,767905.08,0.00
914,Tayal Capitals,160.80,4849.07,1722.22,16452.69,3.63
915,TBNG Capital Advisors Pvt Ltd,95.18,4934.83,1161.01,11730.39,2.65
916,TCM Advisory Pvt Ltd,143.20,2575.95,-676.03,15261.23,7.04
917,TG Financial Consultant,266.22,22312.55,9167.36,40756.83,2.07
918,Thakker Nikhil Vasudev,115.60,4426.09,1716.35,11091.16,2.80
919,The Cosmos Co-Operative Bank Ltd,66.88,6987.16,2541.81,10591.81,1.63
920,The Federal Bank Ltd.,447.83,43235.95,17604.60,53796.02,1.44
921,The Karnataka Bank Limited,156.22,13515.51,8459.79,21986.25,1.90
922,THE PORTFOLIO SHOP FINANCIAL SERVICES,113.70,3771.86,-6381.41,8355.95,0.95
923,The Saraswat Co-Operative Bank Ltd,127.41,13771.65,8111.74,13470.46,1.19
924,THEFINANCIALMALL PRIVATE LIMITED,139.43,6316.03,2262.74,14909.27,2.73
925,Think Financial & Insurance Cons Pvt Ltd,636.19,125398.89,8386.00,80157.32,0.69
926,Thirukochi Financial Consultants Pvt Ltd,102.29,3082.98,803.41,8057.97,2.80
927,Thousand Lights Investments Pvt. Ltd.,107.72,2926.39,665.30,12130.08,4.36
928,Three Cheers,190.07,6213.00,1844.76,23234.38,3.95
929,THREE CUBE WEALTH ADVISORY LLP,1408.35,516177.22,-9126.64,168791.00,0.29
930,TIPS,138.00,3522.48,947.24,10157.37,3.37
931,Trade Net Wealth Managers Pvt Ltd,325.41,350280.37,6612.98,48154.18,0.11
932,TRANQUIL CAPITAL,159.60,12047.05,5864.19,19385.21,1.95
933,Transcend Consulting (India) Pvt Ltd,69.24,6765.80,1985.96,11186.61,1.75
934,Transcend Investment Advisors Pvt Ltd,208.16,10070.73,701.77,19877.21,2.11
935,TRINITAS WEALTH PLANNERS LLP,117.37,4702.31,1330.05,12941.10,3.07
936,TRISKAIDEKAPHILLIA SOLUTIONS PRIVATE LIMITED,111.50,23334.63,6329.45,11071.46,0.65
937,TRUFID INVESTMENT ADVISORS PVT LTD,36.48,18665.59,10575.60,8842.21,0.94
938,Trust-Plutus Wealth Managers (India) Pvt Ltd,1134.08,172820.09,-8823.58,169559.77,0.96
939,Tumma Balraj,109.04,4637.15,1965.44,9211.45,2.21
940,Tushar Jitendra Shah,90.56,10307.24,714.45,13068.15,1.35
941,U.R. Financial Consultants,61.13,7373.09,3117.98,10148.70,1.63
942,Ultimate Wealth Managers Pvt Ltd,339.34,9362.87,2382.90,35557.50,3.97
943,Umesh Kumar Gupta,110.49,4976.20,792.09,10328.29,2.21
944,Unifi Financial Pvt Ltd,55.96,256632.06,11204.34,33168.27,0.14
945,Union Bank of India,1816.99,262530.87,42592.74,323369.02,1.29
946,UNMAJ ASSOCIATES LLP,1001.63,108966.48,-78879.92,114355.37,0.53
947,Unnati Capital Services Pvt Ltd,263.17,8767.57,4533.48,22551.49,2.80
948,UPMARKET FINANCIAL ADVISORY SERVICES LLP,138.62,4828.62,606.91,8731.14,3.73
949,Urjita Financial Services Private Limited,138.83,3118.37,-141.09,15592.32,5.16
950,UTI Infrastructure Technology And Services Ltd,578.20,22263.05,9153.22,54113.42,2.72
951,Utkarsh Wealth Advisors,224.91,95198.48,-606.85,34004.55,0.28
952,UVA WEALTH MANAGERS PRIVATE LIMITED,30.99,6101.21,999.89,11000.84,2.84
953,V Serve Management Private Limited,120.23,9824.87,-3116.85,21727.83,2.03
954,VA Inc,111.72,30452.05,2738.86,17206.49,0.59
955,Valsangkar Ravindra Murlidhar,183.97,11417.42,118.90,6923.64,0.61
956,Value Ethics Wealth Managers Pvt Ltd,218.53,11327.75,1377.91,24822.80,2.31
957,Value Invest Wealth Management (India) Pvt. Ltd.,262.47,22888.63,-3769.49,46015.43,2.00
958,VARDHANA FINANCIAL SOLUTIONS PRIVATE LIMITED,114.90,12561.50,358.89,14926.37,1.28
959,Varsha Investments,192.98,7978.98,577.44,25485.48,3.07
960,Varughese Mathai.K,142.57,5042.47,3161.19,13760.06,3.09
961,Vatsal Pravin Shah,134.37,18668.02,3975.47,17128.50,1.08
962,Vcare Investment Services Pvt. Ltd.,531.62,22548.04,4215.41,43400.01,2.02
963,Vedansh Securities,162.35,12302.18,-11246.30,17821.69,0.95
964,Veena Chandra,177.49,4887.97,-704.31,18869.41,3.88
965,Veena Gupta,50.39,1523.30,614.03,3809.01,2.72
966,Venkatesh Share & Stock Brokers Pvt. Ltd.,86.38,17914.20,-1095.00,11451.68,0.61
967,Ventura Securities Ltd,631.69,66636.32,12686.27,104931.43,1.77
968,Verdant Financial Advisory Services Private Limited,294.86,25245.13,-9171.84,40545.51,1.50
969,Verity Finsolutions Pvt. Ltd,194.28,18796.70,2611.02,21887.30,1.31
970,VETE ASSOCIATES Tax & Investments Consultants Pvt Ltd,346.46,17738.18,7692.71,27880.38,1.78
971,Vijay Financial Consultants Pvt Ltd,211.42,5473.67,2627.95,21967.40,4.22
972,Vikash Toshniwal,83.79,3366.24,-431.36,4395.90,1.35
973,Vikram S.Bagadthey,110.05,11061.88,1207.16,10132.27,1.02
974,Vinay O Rathi,165.61,12265.75,-578.01,16456.50,1.25
975,Vinayak Dattatreya Joshi,113.05,1544.89,-398.02,13425.33,8.69
976,Vinit Chandulal Vasa,189.27,12062.51,5562.39,20721.54,1.90
977,Vinod Kumar Anand,98.89,2891.37,633.41,9729.76,3.64
978,Vinod S Singh,85.26,6329.14,606.10,10889.10,1.73
979,VINTRUST WEALTH MANAGERS LLP,126.81,9512.75,5360.75,11364.30,1.40
980,Viral Kishorbhai Shah,116.66,21321.09,7143.43,9818.83,0.67
981,Viral R Kothari,131.40,4692.03,1879.86,15418.58,3.55
982,Virendrakumar Rajnikant Modi,93.48,5553.50,1414.34,9860.87,1.97
983,Vishal Bharat Modi,217.65,8370.00,3465.96,14558.88,2.00
984,Vishal Kumar Narang,101.76,3789.13,122.22,9300.19,2.52
985,Vishvambhar C S Kenkare,97.44,1953.85,617.37,9936.26,5.38
986,Vision Ahead Services (Pvt) Ltd,150.36,16859.78,-5806.03,15130.61,0.66
987,Vista Wealth Consultants Private Limited,531.45,19911.76,7568.73,57270.69,3.11
988,Vithadwaitha Investment Consultants Pvt Ltd,92.41,3260.11,1298.47,10269.70,3.48
989,Vivek Kumar,61.70,992.73,66.03,7010.19,6.83
990,Vivek Mahajan,210.06,8932.04,2023.81,16112.47,2.01
991,VJB Financial Services Pvt Ltd,150.60,37373.14,-521.19,20440.00,0.53
992,Vogue Management Services Private Limited,63.29,3924.51,271.03,9555.03,2.93
993,VR Wealth Advisors Pvt Ltd,85.46,4912.83,-45.45,13901.46,3.03
994,VRISHANK ADVISORY SERVICES PRIVATE LIMITED,110.96,6355.55,3647.47,7064.82,1.37
995,VSRK WEALTH CREATOR PVT LTD,1004.63,18818.45,-5085.68,91874.33,5.02
996,VUK Finvest Consultants Pvt Ltd,192.59,14078.42,-61.46,24937.13,1.67
997,WADHAWAN WEALTH MANAGERS PRIVATE LIMITED,44.54,72952.63,22136.16,37031.24,1.31
998,Walter Cyril Pinto,50.13,1405.81,378.43,5252.91,3.92
999,Way2Wealth Securities Private Limited,665.79,113038.66,1949.37,100219.24,0.83
1000,Wealth Creators,109.79,2750.87,1768.93,11848.10,4.72
1001,WEALTH EXPRESS,101.00,21222.73,1034.01,9745.66,0.48
1002,Wealth First Advisors Pvt Ltd,718.24,50435.30,766.03,77770.83,1.56
1003,Wealth First Port Folio Managers Ltd,1161.32,273817.40,18561.30,126041.31,0.57
1004,Wealth India Financial Services Pvt Ltd,4581.60,254376.41,66700.11,543958.04,2.36
1005,Wealth Lab Private Limited,135.05,7636.76,1443.17,18431.08,2.49
1006,WEALTH MANAGEMENT,107.90,4156.05,1662.55,11440.40,3.07
1007,Wealth Managers (India) Private Limited,1734.77,638904.55,37306.53,394765.13,0.67
1008,Wealth Managers United India Private Limited,606.05,23176.06,9023.11,66364.28,3.44
1009,WEALTHAPP SOLUTION PRIVATE LIMITED,165.67,11812.76,1981.65,16065.31,1.50
1010,Wealthcare Investment Services,143.44,3348.83,945.89,14128.61,4.52
1011,Wealthcare Securities Private Limited,208.65,9126.50,1804.06,21791.56,2.47
1012,Wealthcube Endeavours LLP,305.75,25072.26,6373.85,21159.08,0.96
1013,WealthDirect Portfolio Pvt Ltd,113.44,5732.86,2658.01,13338.79,2.54
1014,Wealthpoint Financial Resources Pvt Ltd,100.95,9094.31,3118.82,11344.75,1.45
1015,WEALTHWISE ADVISORS,167.95,18117.50,-7312.80,16348.96,0.03
1016,Wholelife Financial Services (Hyderabad) Pvt. Ltd.,104.36,3263.98,1158.34,12471.17,4.05
1017,WISE FINSERV PVT. LTD,190.86,8618.99,4316.11,14418.56,1.96
1018,Wiseinvest Advisors Pvt. Ltd.,741.55,43301.50,2422.30,89123.42,2.12
1019,WMG Advisory & Services Pvt Ltd,246.96,71982.25,7112.40,32017.68,0.47
1020,Y S CAPITAL.,283.13,9282.54,2230.72,29112.37,4.07
1021,Y. Sridhar,95.84,2628.96,735.19,8732.14,3.60
1022,Yajendra Chinnaya Shetty,95.40,3812.64,3447.93,9918.26,2.86
1023,Yash Consultants,213.13,1059.71,-3932.52,29248.49,27.24
1024,Yashwant Amarsingh Rathod,170.70,3720.49,1900.43,16512.50,4.52
1025,Yatish Wealth Managers,116.83,15862.97,2894.47,15896.03,1.12
1026,Yes Bank Limited,2567.50,278344.59,7567.27,327860.53,1.14
1027,Yes Investments,105.25,1362.46,492.11,5790.02,4.48
1028,Yeshwanth Kumar,246.22,6144.67,-8113.62,18960.63,1.99
1029,Yezdi Framroz Langrana,210.27,4626.47,1141.55,25130.37,5.54
1030,Yogendra Dilipbhai Doshi,130.94,5439.10,1365.43,15492.09,3.05
1031,Yogesh Jayant Shah,193.15,26691.81,2735.39,33712.08,1.30
1032,Zeenat S Jagani,335.47,8914.09,2702.51,34320.13,4.02
1033,Zen Securities Limited,313.37,21314.44,411.84,65071.98,3.08
1034,Zerodha,82.34,30337.41,-1505.53,11151.09,0.34
1035,Zeus Investment Solutions,211.15,16956.98,4440.21,19481.22,1.24
1036,ZUARI FINSERV LIMITED,82.26,88757.04,457.20,15587.63,0.17
1037,ZVEST FINANCIAL SERVICES LLP,180.77,17664.75,5796.74,20990.26,1.50
